code,name,short,kind,country,website,about
CAK,Competition Authority of Kenya,CAK,Regulator,Kenya,https://www.cak.go.ke,"Kenya's competition regulator under the Competition Act, 2010. A merger that crosses the notification thresholds cannot complete without its approval, and it can clear a deal outright, clear it on conditions or refuse it. It weighs public interest factors such as employment alongside competition, and its decisions can be appealed to the Competition Tribunal."
COMESA,COMESA Competition Commission,COMESA,Regional regulator,COMESA,https://www.comesacompetition.org,"Reviews mergers in which the parties operate in two or more member states of the Common Market for Eastern and Southern Africa and cross its thresholds, so that one regional filing covers the common market. Banking and telecoms deals in Kenya often go to it alongside the national regulator."
EACCA,East African Community Competition Authority,EACCA,Regional regulator,East African Community,,"The East African Community's regional competition authority. It reviews mergers with a cross-border effect within the Community's partner states and now sits alongside COMESA and the national regulators on many regional deals."
CMA,Capital Markets Authority,CMA,Regulator,Kenya,https://www.cma.or.ke,"Regulates Kenya's capital markets under the Capital Markets Act. It approves public offers and listings, and administers the Capital Markets (Take-overs and Mergers) Regulations, 2002, under which a buyer of effective control of a listed company must usually offer to buy out the other shareholders unless the Authority grants an exemption."
CMT,Capital Markets Tribunal,Tribunal,Tribunal,Kenya,,"Hears appeals against decisions of the Capital Markets Authority, including decisions to grant or refuse exemptions under the take-over rules. Its rulings decide whether a regulator's approval stands, which makes it a gate in its own right when a decision is challenged."
HCK,High Court of Kenya,High Court,Court,Kenya,https://judiciary.go.ke,"Hears constitutional petitions and commercial disputes, including petitions that challenge how regulators handled a deal. Its conservatory and status quo orders can freeze a transaction while a dispute is heard, even after the regulators have approved it."
CBK,Central Bank of Kenya,CBK,Regulator,Kenya,https://www.centralbank.go.ke,"Licenses and supervises Kenya's banks under the Banking Act. A buyer needs its approval to acquire a significant stake in a bank under section 13(4) of the Banking Act, and transfers of a bank's business need its approval under section 9. It also licenses and supervises payment service providers, including mobile-money businesses."
NT,National Treasury,Treasury,Government,Kenya,https://www.treasury.go.ke,"The National Treasury and Economic Planning. Under section 9 of the Banking Act, the Cabinet Secretary's approval is needed for amalgamations of banks and for transfers of a bank's assets and liabilities to another institution, which makes the Treasury the last Kenyan gate on many bank deals."
NSE,Nairobi Securities Exchange,NSE,Exchange,Kenya,https://www.nse.co.ke,"Kenya's securities exchange. It admits shares to its markets, including the Main Investment Market Segment, once the Capital Markets Authority has approved an offer, and it receives the notices a bidder must serve when it plans a take-over of a listed company."
PPPC,Public Private Partnerships Committee,PPP Committee,Government,Kenya,,"Set up under the Public Private Partnerships Act, 2021. It approves public private partnership projects at key stages, including their feasibility studies, before they can move into procurement, and it works with the PPP Directorate at the National Treasury."
CBN,Central Bank of Nigeria,CBN,Regulator,Nigeria,https://www.cbn.gov.ng,"Nigeria's banking regulator. Nigerian banks expanding abroad, such as Zenith and Access in Kenya, need its approval for their acquisitions of foreign banks."
SARB,Prudential Authority of the South African Reserve Bank,SARB,Regulator,South Africa,https://www.resbank.co.za,"Supervises South African banks and approves their significant acquisitions, including stakes in banks elsewhere in Africa."
FCA,UK Financial Conduct Authority,FCA,Regulator,United Kingdom,https://www.fca.org.uk,"The United Kingdom's financial regulator. It approves the prospectus for a London listing and admits the company's shares to listing before trading starts."
LSE,London Stock Exchange,LSE,Exchange,United Kingdom,https://www.londonstockexchange.com,"Admits shares to trading on its Main Market once the Financial Conduct Authority has approved the listing. Several African companies with pan-African operations, including Airtel Africa, list there."
CBS,Central banks in Airtel Money's markets,Central banks,Regulators,Africa,,"Each central bank licenses the mobile-money and payments businesses in its own market and decides who may own or control them."
KRA,Kenya Revenue Authority,KRA,Revenue authority,Kenya,https://www.kra.go.ke,"Collects Kenya's taxes, including the capital gains tax and stamp duty that transactions generate, and sets the filing deadlines that appear on the cause list."
CMSA,Capital Markets and Securities Authority of Tanzania,CMSA,Regulator,Tanzania,https://www.cmsa.go.tz,"Tanzania's capital markets regulator. It administers Tanzania's take-over regulations for companies listed on the Dar es Salaam Stock Exchange, including cross-listed Kenyan companies."
CMAU,Capital Markets Authority of Uganda,CMA Uganda,Regulator,Uganda,https://www.cmauganda.co.ug,"Uganda's capital markets regulator. It administers Uganda's take-over rules for companies listed on the Uganda Securities Exchange, including cross-listed Kenyan companies."
FCC,Fair Competition Commission of Tanzania,FCC,Regulator,Tanzania,https://www.competition.or.tz,"Tanzania's competition regulator. Mergers that cross its thresholds need its approval before they complete in Tanzania."
MTICU,Uganda's Ministry of Trade Industry and Cooperatives,Uganda trade ministry,Government,Uganda,,"Reviews mergers affecting competition in Uganda. Asahi named it in May 2026 as one of the competition approvals its EABL deal still needed."
BNR,National Bank of Rwanda,BNR,Regulator,Rwanda,https://www.bnr.rw,"Rwanda's central bank. It approves changes in the ownership of banks licensed in Rwanda, including the Rwandan subsidiaries of Kenyan banking groups."
BOT,Bank of Tanzania,BOT,Regulator,Tanzania,https://www.bot.go.tz,"Tanzania's central bank. It approves changes in the ownership of banks licensed in Tanzania, including the Tanzanian subsidiaries of Kenyan banking groups."
ERCA,ECOWAS Regional Competition Authority,ERCA,Regional regulator,ECOWAS,,"Reviews mergers with a regional dimension in the Economic Community of West African States, which brings West African subsidiaries of East African groups within its reach."
